Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos com 50 pés e mais existentes;Quantidade de Estabelecimentos com 50 pés e mais existentes não ligados à Agricultura Familiar;Quantidade de Estabelecimentos com 50 pés e mais existentes ligados à Agricultura Familiar;Quantidade Produzida em estabelecimentos com 50 pés e mais existentes (t);Quantidade Produzida em estabelecimentos com 50 pés e mais existentes não ligada à Agricultura Familiar (t);Quantidade Produzida em estabelecimentos com 50 pés e mais existentes ligada à Agricultura Familiar (t);Quantidade Vendida em estabelecimentos com 50 pés e mais existentes (t);Quantidade Vendida em estabelecimentos com 50 pés e mais existentes não ligada à Agricultura Familiar (t);Quantidade Vendida em estabelecimentos com 50 pés e mais existentes ligada à Agricultura Familiar (t);Valor da Produção Total das lavouras permanentes com 50 pés e mais (em mil R$);Valor da Produção Total das lavouras permanentes com 50 pés e mais não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total das lavouras permanentes com 50 pés e mais ligada à Agricultura Familiar (em mil R$);Valor da Venda Total nas lavouras permanentes com 50 pés e mais (em mil R$);Valor da Venda Total nas lavouras permanentes com 50 pés e mais não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total nas lavouras permanentes com 50 pés e mais ligada à Agricultura Familiar (em mil R$);Quantidade de pés colhidos nos estabelecimentos com 50 pés e mais;Quantidade de pés colhidos nos estabelecimentos com 50 pés e mais não ligada à Agricultura Familiar;Quantidade de pés colhidos nos estabelecimentos com 50 pés e mais ligada à Agricultura Familiar;Área colhida com 50 pés e mais (ha);Área colhida com 50 pés e mais não ligada à Agricultura Familiar (ha);Área colhida com 50 pés e mais ligada à Agricultura Familiar (ha);Área total existente na data de referência nas lavouras permanentes com 50 pés e mais (ha);Área total existente na data de referência nas lavouras permanentes com 50 pés e mais não ligada à Agricultura Familiar (ha);Área total existente na data de referência nas lavouras permanentes com 50 pés e mais ligada à Agricultura Familiar (ha);Quantidade de pés nos estabelecimentos com 50 pés e mais;Quantidades de pés nos estabelecimentos com 50 pés e mais não ligada à Agricultura Familiar;Quantidade de pés nos estabelecimentos com 50 pés e mais ligada à Agricultura Familiar;Quantidade de Estabelecimentos com menos de 50 pés;Quantidade de Estabelecimentos com menos de 50 pés não ligada à Agricultura Familiar;Quantidade de Estabelecimentos com menos de 50 pés ligada à Agricultura Familiar;Quantidade de pés nos estabelecimentos com menos de 50 pés;Quantidade de pés nos estabelecimentos com menos de 50 pés não ligada à Agricultura Familiar;Quantidade de pés nos estabelecimentos com menos de 50 pés ligada à Agricultura Familiar;Valor da Venda Total nos estabelecimentos com menos de 50 pés (em mil R$);Valor da Venda Total nos estabelecimentos com menos de 50 pés não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total nos estabelecimentos com menos de 50 pés ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado em 2022 (R$)
Acre;AC;733559;532279;201280;Abacate;89;7;82;91;3;88;62;2;60;164;4;161;112;3;109;3;0;3;25;1;24;60;5;55;10;1;9;4527;726;3801;16;2;14;62;5;57;51,75;318,7;6,16;119,41;508,14;4,26;154,82;847,4;5,47;158,34;1106,3;6,99;168399;881,87;0,01
Acre;AC;733559;532279;201280;Acerola;60;10;50;66;10;56;60;9;51;174;23;152;160;21;139;7;2;4;17;5;12;34;12;23;13;5;8;1687;315;1372;5;1;4;11;0;10;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Algodão arbóreo;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;38;4;34;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Ameixa;0;-;0;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;3;-;3;0;-;0;-;-;-;0,56;4,52;8,05;0,7;6,1;8,74;33,28;454,55;13,66;8,22;171,27;20,83;1748;37,64;0,02
Acre;AC;733559;532279;201280;Amora (folha);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;0,43;4,3;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Atemoia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Azeitona (oliveira);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;161;26;135;1;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Açaí (fruto);201;43;158;401;305;96;347;293;55;527;423;105;464;412;52;55;50;5;122;109;12;446;261;185;235;117;118;1057;178;879;7;1;6;7;1;6;4,9;24,75;5,05;X;X;X;X;X;X;9,0;54,0;6;X;X;X
Acre;AC;733559;532279;201280;Banana;8363;1044;7319;39238;3901;35336;25821;2434;23387;30257;3081;27176;19795;1958;17837;3688;365;3323;3370;347;3023;7619;963;6656;7972;1000;6972;5895;907;4988;34;6;29;272;5;267;3805,8;6244,52;1,64;3705,5;8309,42;2,24;5391,62;6169,44;1,14;8363,65;11134,14;1,33;4002480;8299,18;0,0
Acre;AC;733559;532279;201280;Cacau (amêndoa);18;2;16;1;X;X;1;X;X;8;X;X;8;X;X;1;X;X;2;X;X;15;X;X;19;X;X;389;68;321;2;0;1;1;-;1;0,1;0,7;7;0,7;4,2;6;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Café arábica em grão (verde);24;0;24;18;X;X;10;X;X;93;X;X;71;X;X;14;X;X;10;X;X;34;X;X;42;X;X;45;5;40;0;0;0;2;2;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Café canephora (robusta, conilon) em grão (verde);452;42;410;911;93;818;861;92;769;4645;536;4109;4394;534;3861;935;130;805;660;63;597;1472;273;1199;2017;493;1523;101;15;86;1;0;1;87;-;87;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Caju (castanha);1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;7;1;6;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Caju (fruto);18;4;14;4;2;2;0;-;0;12;8;4;2;-;2;1;0;1;6;4;2;8;4;3;2;1;1;4160;682;3478;11;2;9;2;0;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Caqui;0;-;0;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;5;-;5;0;-;0;-;-;-;1,02;10,11;9,86;20,19;136,91;6,78;0,09;0,97;10,89;0,47;3,62;7,71;196;1,78;0,01
Acre;AC;733559;532279;201280;Carambola;2;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;427;64;363;1;0;1;-;-;-;X;X;X;X;X;X;0,1;0,48;4,85;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Figo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Goiaba;39;6;33;42;1;41;36;-;36;29;1;29;23;-;23;4;0;4;10;2;8;19;4;15;9;3;7;3597;544;3053;10;2;9;1;0;1;0,31;2,95;9,45;43,28;288,83;6,67;0,15;1,03;6,67;2,62;27,46;10,48;1620;23,05;0,01
Acre;AC;733559;532279;201280;Graviola;179;30;149;64;3;61;33;2;31;253;13;239;153;6;147;10;1;9;29;5;24;99;20;79;34;5;29;5118;792;4326;18;2;15;24;2;22;0,09;0,32;3,54;0,15;0,67;4,42;X;X;X;X;X;X;99;1,98;0,02
Acre;AC;733559;532279;201280;Jabuticaba;5;3;2;0;X;X;0;X;X;1;X;X;0;X;X;0;X;X;1;X;X;1;X;X;1;X;X;470;72;398;1;0;1;0;-;0;X;X;X;X;X;X;0,23;0,66;2,95;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Jaca;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;918;154;764;1;0;1;4;-;4;3,87;5,23;1,35;0,59;2,38;4,03;3,81;32,59;8,55;0,06;0,42;7;669;2,68;0,0
Acre;AC;733559;532279;201280;Jambo;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;1674;236;1438;3;0;2;0;-;0;X;X;X;2,7;32,4;12;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Laranja;237;36;201;1293;82;1211;1147;68;1079;1163;76;1087;1021;60;961;27;2;25;94;8;85;223;24;198;52;5;47;6741;1123;5618;27;4;23;314;84;230;316,75;822,48;2,6;504,06;935,21;1,86;924,62;2174,83;2,35;1595,04;4134,8;2,59;254205;637,68;0,0
Acre;AC;733559;532279;201280;Lichia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Lima;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;253;40;213;1;0;1;0;0;0;4,97;11,11;2,23;0,12;0,32;2,75;0,86;1,66;1,93;1,04;5,48;5,27;1000;5,39;0,01
Acre;AC;733559;532279;201280;Limão;166;29;137;979;265;714;908;263;645;1153;395;758;1082;393;689;19;4;15;70;20;50;212;58;154;54;13;40;6300;1004;5296;18;3;15;231;17;215;446,04;1493,79;3,35;376,96;973,51;2,58;805,9;2539,34;3,15;1616,2;3541,29;2,19;630339;1968,57;0,0
Acre;AC;733559;532279;201280;Louro (folha);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;0,0;0,12;60;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Mamão;270;31;239;821;242;579;701;233;467;1082;403;678;938;394;544;66;15;52;72;14;58;139;23;117;95;18;77;3962;556;3406;23;2;20;159;4;155;196,82;542,64;2,76;170,39;703,38;4,13;216,14;733,23;3,39;157,91;602,25;3,81;85393;408,86;0,0
Acre;AC;733559;532279;201280;Manga;22;4;18;12;-;12;5;-;5;15;-;15;5;-;5;1;-;1;13;-;13;17;1;16;2;0;2;6018;989;5029;17;3;14;8;5;3;9,75;56,69;5,81;27,89;145,44;5,22;73,08;446,37;6,11;38,72;228,5;5,9;39232;182,67;0,0
Acre;AC;733559;532279;201280;Maracujá;113;29;84;512;209;303;420;182;238;1307;598;709;1054;526;528;46;24;22;57;25;32;107;43;64;63;27;36;561;92;469;2;0;1;15;0;15;128,71;661,43;5,14;195,44;705,98;3,61;305,56;838,38;2,74;488,34;2296,74;4,7;295570;1953,9;0,01
Acre;AC;733559;532279;201280;Maçã;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126,32;543,03;4,3;179,71;1436,69;7,99;289,44;2304,45;7,96;476,96;3905,37;8,19;430640;8669,71;0,02
Acre;AC;733559;532279;201280;Nectarina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,02;0,06;3,75;0,21;1,28;5,99;X;X;X;0,05;0,29;5,5;50;0,45;0,01
Acre;AC;733559;532279;201280;Noz (europeia, pecã);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Nêspera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Palmito;112;40;72;22;9;13;22;9;12;55;25;29;54;25;29;43;13;30;30;9;21;175;66;109;434;165;269;6;2;4;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Pera;0;-;0;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;3;-;3;0;-;0;-;-;-;6,88;46,52;6,76;12,07;647,78;53,66;86,28;657,9;7,63;15,37;488,9;31,82;9540;111,18;0,01
Acre;AC;733559;532279;201280;Pimenta-do-reino;6;1;5;0;X;X;0;X;X;3;X;X;3;X;X;1;X;X;1;X;X;4;X;X;4;X;X;102;20;82;0;0;0;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
