Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Acre;AC;733559;532279;201280;Abobrinha;108;11;97;53;2;51;44;2;42;96;5;92;85;4;81;0,04;0,08;2;0,01;0,03;5,5;0,12;0,32;2,75;0,15;0,46;3,11;0,04;0,15;4,2
Acre;AC;733559;532279;201280;Acelga;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;0,53;3,38;6,41;21,12;86,13;4,08;2,65;11,32;4,27;6,44;33,19;5,15;4,42;32,93;7,46
Acre;AC;733559;532279;201280;Agrião;34;4;30;36;7;29;36;7;29;199;64;135;199;64;135;X;X;X;X;X;X;X;X;X;0,06;0,42;7,18;X;X;X
Acre;AC;733559;532279;201280;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Alecrim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,17;27,05;158,18;0,0;0,02;7,78;X;X;X;0,01;0,06;7,63;X;X;X
Acre;AC;733559;532279;201280;Alface;526;54;472;886;271;615;870;269;601;6677;1824;4853;6579;1811;4768;19,96;163,36;8,19;15,94;207,97;13,05;15,56;147,85;9,5;25,87;545,57;21,09;14,96;152,35;10,18
Acre;AC;733559;532279;201280;Alho-porró;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;0,15;4,71;31,64;0,01;0,07;14,61
Acre;AC;733559;532279;201280;Almeirão;7;2;5;32;X;X;32;X;X;324;X;X;324;X;X;X;X;X;X;X;X;X;X;X;0,01;0,03;4,18;0,0;0,02;6
Acre;AC;733559;532279;201280;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;0,09;45;0,0;0,09;30;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Batata-baroa (mandioquinha);10;3;7;21;12;9;19;12;8;29;13;17;27;12;15;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Batata-doce;140;20;120;86;6;80;53;4;49;142;10;132;88;6;82;3,72;12,26;3,29;3,59;8,45;2,35;2,98;8,34;2,8;139,58;613,15;4,39;50,43;159,55;3,16
Acre;AC;733559;532279;201280;Berinjela;29;4;25;7;0;7;7;0;6;13;1;12;12;1;11;6,8;20,35;2,99;4,66;14,26;3,06;3,8;16,62;4,37;17,14;111,93;6,53;2,91;10,31;3,54
Acre;AC;733559;532279;201280;Bertalha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Beterraba;6;2;4;0;X;X;0;X;X;1;X;X;1;X;X;66,2;186,8;2,82;38,01;115,63;3,04;24,2;53,33;2,2;160,54;523,92;3,26;95,85;410,78;4,29
