Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Abobrinha;Distrito Federal;579;186;393;5.946;2.919;3.027;Toneladas;5.324;2.518;2.805;5.893;2.501;3.392;5.245;2.171;3.074;DF;2570160;2482210;87950;19.513.590;52.346.944,64;2,68
Acelga;Distrito Federal;179;77;102;1.688;741;947;Toneladas;1.548;699;849;1.683;835;849;1.563;803;760;DF;2570160;2482210;87950;1.856.684;2.854.566,22;1,54
Agrião;Distrito Federal;207;79;128;1.027;663;364;Toneladas;961;617;344;2.612;1.541;1.071;2.515;1.502;1.013;DF;2570160;2482210;87950;1.142.515;5.527.072,65;4,84
Alcachofra;Distrito Federal;3;-;3;0;-;0;Toneladas;0;-;0;4;-;4;3;-;3;DF;2570160;2482210;87950;13.318;272.392,16;20,45
Alecrim;Distrito Federal;70;33;37;39;31;8;Toneladas;38;30;7;336;261;75;324;259;65;DF;2570160;2482210;87950;27.841;1.794.484,73;64,45
Alface;Distrito Federal;719;295;424;16.134;9.876;6.258;Toneladas;14.855;9.060;5.795;31.534;20.147;11.387;29.639;19.008;10.631;DF;2570160;2482210;87950;8.135.311;38.571.261,27;4,74
Almeirão;Distrito Federal;75;39;36;71;47;24;Toneladas;68;45;23;169;110;59;152;97;55;DF;2570160;2482210;87950;36.297;112.361,63;3,10
Aspargo;Distrito Federal;4;2;2;10;X;X;Toneladas;10;X;X;46;X;X;46;X;X;DF;2570160;2482210;87950;43.329;4.397.476,91;101,49
Batata-doce;Distrito Federal;241;83;158;4.907;2.666;2.241;Toneladas;4.742;2.624;2.118;3.525;1.593;1.932;3.410;1.549;1.861;DF;2570160;2482210;87950;33.818.286;60.511.876,48;1,79
Berinjela;Distrito Federal;231;86;145;2.409;859;1.550;Toneladas;2.354;833;1.522;2.499;943;1.556;2.420;892;1.528;DF;2570160;2482210;87950;8.406.342;16.663.742,59;1,98
Bertalha;Distrito Federal;10;5;5;4;2;1;Toneladas;3;2;1;13;9;4;12;9;4;DF;2570160;2482210;87950;4.151;11.228,95;2,71
Beterraba;Distrito Federal;232;84;148;3.475;2.008;1.467;Toneladas;3.354;1.933;1.421;3.476;2.005;1.471;3.331;1.929;1.402;DF;2570160;2482210;87950;27.769.085;68.832.635,13;2,48
